S. No.,State / UT,Active,Recovered,Deaths,Confirmed
1,Andaman and Nicobar,180,3678,54,3912
2,Andhra Pradesh,50776,672479,6052,729307
3,Arunachal Pradesh,3022,7965,20,11007
4,Assam,33047,155077,778,188902
5,Bihar,11420,178395,925,190740
6,Chandigarh,1492,11035,180,12707
7,Chhattisgarh,27238,100551,1104,128893
8,Dadra and Nagar Haveli and Daman and Diu,101,3000,2,3103
9,Delhi,22720,266935,5581,295236
10,Goa,4720,31050,468,36238
11,Gujarat,16570,125111,3519,145200
12,Haryana,11320,123286,1509,136115
13,Himachal Pradesh,3136,12918,229,16283
14,Jammu and Kashmir,13712,65496,1268,80476
15,Jharkhand,10027,78089,757,88873
16,Karnataka,115170,533074,9461,657705
17,Kerala,87823,154092,884,242799
18,Ladakh,1195,3464,61,4720
19,Lakshadweep,0,0,0,0
20,Maharashtra,247468,1179726,38717,1465911
21,Manipur,2680,9482,78,12240
22,Meghalaya,2371,4606,60,7037
23,Mizoram,261,1887,0,2148
24,Madhya Pradesh,18141,118039,2488,138668
25,Nagaland,1185,5460,17,6662
26,Odisha,26846,210217,940,238003
27,Puducherry,4522,24614,546,29682
28,Punjab,11982,104355,3679,120016
29,Rajasthan,21294,125448,1574,148316
30,Sikkim,580,2587,49,3216
31,Tamil Nadu,45279,575212,9917,630408
32,Telengana,26551,177008,1189,204748
33,Tripura,4621,22623,301,27545
34,Uttar Pradesh,44031,370753,6153,420937
35,Uttarakhand,8414,43238,677,52329
36,West Bengal,27988,243743,5318,277049
